description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"McDONALD'S, RANCH SNACK WRAP, Grilled",,222.0,13.8,10.3,18.4,0.9,,577.0
"BONELESS SKINLESS MESQUITE GRILLED CHICKEN BREAST FILLETS, MESQUITE GRILLED CHICKEN","Wal-Mart Stores, Inc.",131.0,25.0,3.57,1.19,0.0,,161.0
"GRILLED CHICKEN BREAST STRIPS BONELESS, SKINLESS WITH RIB MEAT, GRILLED CHICKEN",The Kroger Co.,119.0,22.6,2.38,2.38,0.0,,488.0
"GRILLED CHICKEN FULLY COOKED BREAST FILLET WITH RIB MEAT, GRILLED CHICKEN","Wal-Mart Stores, Inc.",111.0,20.2,2.53,1.01,0.0,,485.0
"SPINACH SALAD WITH GRILLED CHICKEN BREAST WITH RIB MEAT, GRILLED CHICKEN SPINACH","Renaissance Food Group, LLC",134.0,6.69,7.04,11.6,1.1,,278.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised",,609.0,28.2,3.61,0.0,0.0,,172.0
"BIG Y, GRILLED CHICKEN BREAST CUTLET","Big Y Foods, Inc.",129.0,24.3,2.75,0.0,0.0,,302.0
"Turkey breast, sliced, prepackaged",,442.0,14.8,3.77,2.2,0.0,,898.0
"AHOLD, GRILLED CHICKEN BREAST WITH BALSAMIC DRESSING","Ahold USA, Inc. ",171.0,17.1,8.24,5.29,0.6,,476.0
BUFFALO STYLE GRILLED CHICKEN BREAST STRIPS,Oscar Mayer Foods Corp.,155.0,27.4,3.57,3.57,,,786.0
"CARVED CHICKEN BREAST, GRILLED FAJITA STYLE",Perdue Farms Incorporated,127.0,25.4,2.82,1.41,0.0,,366.0
CARVED GRILLED ITALIAN STYLE CHICKEN BREAST,Perdue Farms Incorporated,141.0,23.9,2.82,4.23,0.0,,676.0
"FAJITA GRILLED CHICKEN BREAST STRIPS, FAJITA","Tyson Foods, Inc.",143.0,25.0,4.17,1.19,0.0,,786.0
FIRE GRILLED BONELESS SKINLESS CHICKEN BREASTS,"Wal-Mart Stores, Inc.",134.0,25.9,3.12,0.0,0.0,,312.0
"FOSTER FARMS, GRILLED CHICKEN BREAST STRIPS",Foster Poultry Farms,119.0,22.6,2.38,1.19,0.0,,619.0
GLUTEN FREE GRILLED CHICKEN BREAST FILLETS,"Tyson Foods, Inc.",107.0,19.0,1.79,1.19,0.0,,417.0
GLUTEN FREE GRILLED CHICKEN BREAST STRIPS,"Tyson Foods, Inc.",107.0,19.0,1.79,1.19,0.0,,417.0
GRILLED CHICKEN BREAST SALAD WITH CAESAR DRESSING,Walgreens Co.,129.0,4.56,8.71,8.71,1.2,,253.0
GRILLED CHICKEN BREAST STRIPS WITH RIB MEAT,Perdue Farms Incorporated,119.0,21.4,2.38,1.19,0.0,,536.0
GRILLED CHICKEN BREAST STRIPS WITH RIB MEAT,Perdue Farms Incorporated,119.0,21.4,2.38,1.19,0.0,,536.0
"GRILLED CHICKEN BREAST STRIPS, LEMON & GARLIC","Wegmans Food Markets, Inc. ",141.0,22.4,2.94,4.71,0.0,,506.0
GRILLED CHICKEN BREASTS WITH ANCHO CHILI SAUCE,"Cuisine Solutions, Inc.",113.0,20.4,1.76,3.52,0.0,,190.0
GRILLED FAJITA STYLE CARVED CHICKEN BREAST ,Perdue Farms Incorporated,127.0,22.5,2.82,1.41,0.0,,563.0
GRILLED ITALIAN STYLE CHICKEN BREAST STRIPS,Perdue Farms Incorporated,119.0,21.4,2.38,1.19,0.0,,512.0
GRILLED WITH RIB MEAT CHICKEN BREAST STRIPS,John Soules Foods Inc.,131.0,21.4,2.38,3.57,0.0,,583.0
SOUTHWESTERN SEASONED GRILLED CHICKEN BREAST STRIPS,Oscar Mayer Foods Corp.,131.0,27.4,2.38,1.19,,,643.0
"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",,509.0,5.87,3.92,15.7,1.5,,270.0
"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",,435.0,3.42,1.75,18.6,1.7,,218.0
"Mushrooms, portabella, exposed to ultraviolet light, grilled",,121.0,3.28,0.58,4.44,2.2,,11.0
"GRILLED CAJUN-STYLE CHICKEN BREAST STRIPS, GRILLED CAJUN-STYLE",Target Stores,143.0,26.2,2.98,2.38,1.2,,524.0
"GRILLED FAJITA STYLE CARVED CHICKEN BREAST, GRILLED FAJITA STYLE",Perdue Farms Incorporated,127.0,22.5,2.82,1.41,0.0,,563.0
"GRILLED ITALIAN STYLE CARVED CHICKEN BREAST, GRILLED ITALIAN STYLE",Perdue Farms Incorporated,141.0,23.9,2.82,4.23,0.0,,676.0
"Chicken, chicken roll, roasted",,164.0,26.68,6.33,0.0,0.0,,499.0
"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",,156.0,7.96,6.0,17.6,1.4,,371.0
"Grilled cheese sandwich, American cheese, on wheat bread",,341.0,12.05,20.98,26.13,2.8,,817.0
"Grilled cheese sandwich, American cheese, on white bread",,343.0,11.03,20.78,28.09,1.2,,822.0
"Grilled cheese sandwich, cheddar cheese, on wheat bread",,366.0,14.4,23.46,24.42,2.8,,536.0
"Grilled cheese sandwich, cheddar cheese, on white bread",,368.0,13.38,23.26,26.38,1.2,,541.0
"Pheasant, breast, meat only, raw",,133.0,24.4,3.25,0.0,0.0,,33.0
"Quail, breast, meat only, raw",,123.0,22.6,2.99,0.0,0.0,,55.0
"Veal, breast, separable fat, cooked",,521.0,9.4,53.4,0.0,0.0,,49.0
"GRILLED CHICKEN, GRILLED","Safeway, Inc.",232.0,18.3,15.8,2.44,0.0,,1050.0
Orange chicken,,262.0,14.46,12.68,22.46,0.8,,553.0
Biryani with chicken,,104.0,7.15,2.38,13.55,1.1,,161.0
"Soup, chicken",,40.0,3.44,1.14,4.04,0.8,,249.0
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",,305.0,12.34,16.25,27.38,2.8,,734.0
"Grilled cheese sandwich, reduced fat cheese, on white bread",,307.0,11.32,16.05,29.33,1.2,,739.0
"Veal, loin, chop, separable lean and fat, cooked, grilled",,198.0,28.0,9.48,0.16,0.0,,86.0
"Veal, loin, chop, separable lean only, cooked, grilled",,159.0,29.8,4.44,0.07,0.0,,85.0
"Duck, wild, breast, meat only, raw",,123.0,19.8,4.25,0.0,0.0,,57.0
"Ruffed Grouse, breast meat, skinless, raw",,467.0,25.9,0.88,0.0,0.0,,50.0
"Turkey, whole, breast, meat only, raw",,479.0,23.7,1.48,0.14,0.0,,113.0
"CHICKEN GRILLING SEASONING, CHICKEN GRILLING","Hy-Vee, Inc.",0.0,0.0,0.0,0.0,0.0,,6880.0
"GRILLED CHICKEN BURRITO, GRILLED CHICKEN",Ruiz Food Products Inc,224.0,11.2,8.82,24.7,1.2,,394.0
"GRILLED CHICKEN BURRITO, GRILLED CHICKEN",Ruiz Food Products Inc,218.0,11.5,8.33,25.6,1.9,,410.0
"GRILLED CHICKEN SANDWICHES, GRILLED CHICKEN",AdvancePierre Foods Inc.,259.0,12.5,8.93,32.1,0.9,,375.0
"GRILLED CHICKEN STRIPS, GRILLED CHICKEN",Balducci Enterprises Inc.,159.0,18.6,9.73,0.0,0.0,,150.0
"GRILLED CHICKEN STRIPS, GRILLED CHICKEN",Wakefern Food Corporation,126.0,26.5,1.47,0.0,0.0,,706.0
"GRILLED CHICKEN WRAP, GRILLED CHICKEN",Fresh & Ready Foods LLC,212.0,10.6,7.84,24.3,0.8,,306.0
Chicken feet,,215.0,19.4,14.6,0.2,0.0,,67.0
Chicken skin,,450.0,20.19,40.34,0.0,0.0,,387.0
"Chicken, back",,298.0,25.73,20.8,0.0,0.0,,409.0
"Chicken, ground",,201.0,27.14,10.31,0.0,0.0,,400.0
"Chicken, tail",,454.0,20.36,40.68,0.0,0.0,,65.0
Almond chicken,,195.0,15.66,13.16,4.46,1.2,,330.0
Barbecue chicken,,167.0,19.0,4.64,12.23,0.3,,550.0
Chicken cornbread,,167.0,13.78,8.21,9.38,0.4,,458.0
Chicken curry,,107.0,6.48,6.48,6.54,1.4,,376.0
Chicken kiev,,280.0,21.31,19.21,5.45,0.1,,644.0
Chicken spread,,158.0,18.0,17.6,4.05,0.3,,722.0
Chicken with gravy,,129.0,18.88,5.21,1.58,0.0,,526.0
"Chicken, meatless",,936.0,23.6,12.7,3.64,3.6,,709.0
Chili with chicken,,100.0,14.11,3.71,2.41,0.5,,359.0
"Chimichanga, chicken",,304.0,12.5,16.42,25.76,1.8,,414.0
"Empanada, chicken",,309.0,12.57,16.46,27.45,1.6,,460.0
"Enchilada, chicken",,178.0,10.03,9.02,14.64,2.3,,459.0
"Fajita, chicken",,206.0,11.33,9.8,17.99,1.5,,451.0
"Fat, chicken",,3770.0,0.0,99.8,0.0,0.0,,0.0
"Frankfurter, chicken",,223.0,15.5,16.2,2.74,0.0,,1030.0
"Liver, chicken",,189.0,20.02,8.69,6.48,0.2,,453.0
"Nachos, chicken",,242.0,11.2,13.33,19.87,1.4,,430.0
"Quesadilla, chicken",,287.0,14.45,12.99,27.32,1.9,,601.0
Sesame chicken,,293.0,14.33,14.25,26.88,0.7,,482.0
"Stew, chicken",,84.0,9.24,2.34,6.29,1.3,,309.0
"Tamale, chicken",,174.0,7.38,9.04,15.8,2.4,,473.0
"Taquito, chicken",,269.0,12.53,10.41,31.61,3.3,,491.0
GRILLED CHICKEN BREAST MEAT FILLET WITH RIB MEAT,"Wal-Mart Stores, Inc.",119.0,22.6,2.38,1.19,0.0,,393.0
"BELL & EVANS, TIME SAVERS, GRILLED CHICKEN BREASTS",Farmers Pride,128.0,28.2,1.92,0.0,0.0,,372.0
"BUDDIG, FIX QUIX, GRILLED CHICKEN BREAST STRIPS",Carl Buddig & Company,118.0,23.5,2.35,1.18,,,541.0
CAESAR SALAD WITH GRILLED CHICKEN BREAST (WITH RIB MEAT),Triple 'B' Corporation,153.0,7.06,11.4,6.27,1.6,,322.0
COBB SALAD WITH GRILLED CHICKEN BREAST (WITH RIB MEAT),Triple 'B' Corporation,124.0,6.36,9.19,2.83,1.4,,261.0
"DICED ORIGINAL GRILLED CHICKEN BREAST, DICED ORIGINAL",Gourmet Boutique,131.0,26.2,2.98,0.0,0.0,,310.0
Expresco Fully Cooked Grilled Chicken Breast Strips,Expresco Foods,130.0,24.0,2.0,5.0,0.0,,620.0
FULLY COOKED GRILLED & GLAZED CHICKEN BREAST FILLETS,The Kroger Co.,118.0,21.6,2.94,2.94,0.0,,402.0
FULLY COOKED GRILLED CHICKEN BREASTS WITH RIB MEAT,Fieldale Farms Corp.,111.0,21.5,1.48,2.96,0.0,,474.0
GLUTEN-FREE SEASONED GRILLED CHICKEN BREAST STRIPS,Hain Pure Protein Corporation,141.0,24.7,2.35,2.35,0.0,,212.0
GRILLED BONELESS CHICKEN BREAST STRIPS WITH WILD RICE,BIG Y,125.0,10.9,2.45,13.6,0.5,,582.0
GRILLED CHICKEN BREAST WITH RIB MEAT AND VEGETABLE WRAP,"7-Eleven, Inc.",214.0,15.1,6.6,22.6,2.5,,484.0
GRILLED SKINLESS WITH RIB MEAT CARVED CHICKEN BREAST,Perdue Farms Incorporated,119.0,23.8,2.38,1.19,0.0,,488.0
GRILLED SKINLESS WITH RIB MEAT CARVED CHICKEN BREAST,Perdue Farms Incorporated,119.0,23.8,2.38,1.19,0.0,,488.0
LIGHTLY SEASONED GRILLED CHICKEN BREAST WITH RIB MEAT,"Wal-Mart Stores, Inc.",143.0,26.2,3.57,1.19,0.0,,440.0
ORGANIC GLUTEN FREE GRILLED CHICKEN BREAST STRIPS,"Tyson Foods, Inc.",119.0,23.8,2.38,1.19,0.0,,548.0
ORGANIC GRILLED CHICKEN BREAST STRIPS WITH RIB MEAT,Perdue Farms Incorporated,119.0,21.4,2.38,0.0,0.0,,536.0
"BUDDIG, FIX QUIX, CHICKEN BREAST STRIPS, GRILLED SOUTHWESTERN, GRILLED SOUTHWESTERN",Carl Buddig & Company,118.0,23.5,2.35,1.18,,,541.0
"CHICKEN FRIED RICE FLAVORED WITH GRILLED CHICKEN BREAST, VEGETABLES AND EGG, CHICKEN",Kraft Heinz Foods Company,160.0,5.88,2.67,27.3,1.1,,604.0
"Veal, shoulder, blade chop, separable lean and fat, cooked, grilled",,831.0,25.7,10.6,0.15,0.0,,111.0
"Veal, shoulder, blade chop, separable lean only, cooked, grilled",,666.0,27.3,5.53,0.0,0.0,,113.0
Chicken or turkey with dumplings,,144.0,15.69,5.55,8.04,0.3,,488.0
Chicken or turkey with stuffing,,172.0,20.04,4.88,11.74,0.5,,454.0
"Pork, Shoulder breast, boneless, separable lean and fat, raw",,127.0,22.5,3.4,0.0,0.0,,54.0
Chicken or turkey fricassee,,121.0,10.68,7.16,3.54,0.1,,418.0
Chicken with mole sauce,,137.0,18.97,5.58,3.22,0.3,,542.0
Kung pao chicken,,129.0,9.76,6.98,6.87,1.5,,402.0
Chicken or turkey cacciatore,,174.0,13.19,10.62,6.92,1.1,,664.0
"Canada Goose, breast meat only, skinless, raw",,133.0,24.3,4.02,0.0,0.0,,50.0
"Turkey, all classes, breast, meat and skin, raw",,157.0,21.9,7.02,0.0,0.0,,59.0
"Turkey, retail parts, breast, meat and skin, raw",,155.0,21.9,7.45,0.0,0.0,,72.0
"Turkey, retail parts, breast, meat only, raw",,478.0,23.3,2.33,0.0,0.0,,74.0
"Turkey, whole, breast, meat only, cooked, roasted",,147.0,30.1,2.08,0.0,0.0,,99.0
GRILLED CHICKEN STRIPS BONELESS SKINLESS CHICKEN BREAST WITH RIB MEAT,Koch Foods Of Mississippi,119.0,21.4,2.98,2.38,0.0,,536.0
Chicken or turkey divan,,140.0,15.51,7.26,4.01,1.3,,295.0
General Tso chicken,,295.0,12.9,16.36,23.99,0.9,,435.0
"Fast foods, chicken tenders",,271.0,19.2,14.0,17.2,1.2,,769.0
Turkey or chicken sausage,,193.0,19.65,12.24,1.09,0.0,,705.0
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",,63.0,8.52,1.94,2.99,1.0,,265.0
"Veal, leg, top round, cap off, cutlet, boneless, cooked, grilled",,151.0,31.9,2.63,0.0,0.0,,88.0
"Chicken wing, rotisserie",,257.0,23.42,18.04,0.6,0.0,,579.0
"Chicken wing, sauteed",,265.0,23.13,18.39,0.0,0.0,,402.0
"Chicken wing, stewed",,247.0,22.6,16.69,0.0,0.0,,374.0
"Chicken, neck or ribs",,245.0,19.45,17.95,0.0,0.0,,374.0
"Chicken fillet, breaded",,240.0,14.62,13.58,14.86,1.7,,527.0
"Chicken nuggets, NFS",,307.0,15.92,20.36,14.93,0.9,,594.0
"Chicken patty, breaded",,287.0,14.85,19.58,12.84,0.3,,532.0
Baby Toddler chicken,,130.0,13.7,7.9,0.1,0.0,,49.0
"Bologna, chicken, pork",,336.0,10.3,30.6,4.19,0.0,,1240.0
"Bratwurst, chicken, cooked",,738.0,19.4,10.4,0.0,0.0,,72.0
"Burrito bowl, chicken",,161.0,21.04,8.11,0.27,0.0,,301.0
"Burrito, chicken, cheese",,244.0,13.74,8.06,28.33,2.0,,456.0
Chicken as ingredient in recipes,,182.0,28.06,7.34,0.0,0.0,,76.0
Chicken curry with rice,,116.0,4.96,4.0,15.12,1.0,,324.0
Chicken or turkey hash,,110.0,9.57,4.1,8.27,1.3,,259.0
Chicken or turkey parmigiana,,174.0,16.25,8.34,8.3,0.8,,414.0
Chicken or turkey souffle,,171.0,11.72,11.33,5.59,0.1,,380.0
Chicken or turkey tetrazzini,,119.0,11.96,4.79,6.96,0.5,,386.0
Chicken or turkey with teriyaki,,163.0,25.73,5.96,1.62,0.0,,723.0
Chicken salad spread,,200.0,11.64,13.52,7.41,0.0,,653.0
"Chicken, canned, no broth",,772.0,25.3,8.1,0.9,0.0,,482.0
"Chicken, feet, boiled",,215.0,19.4,14.6,0.2,0.0,,67.0
"Chicken, for use with vegetables",,164.0,26.79,6.36,0.0,0.0,,345.0
"Chicken, ground, raw",,598.0,17.4,8.1,0.04,0.0,,60.0
"Chicken, meatless, NFS",,224.0,23.64,12.73,3.64,3.6,,709.0
Chili with chicken and beans,,99.0,10.2,2.08,10.25,3.0,,341.0
"DENNY'S, chicken strips",,1240.0,19.2,14.5,22.0,1.1,,798.0
"Empanada, chicken, with vegetables",,283.0,7.35,15.09,29.91,2.0,,446.0
"Gravy, CAMPBELL'S, chicken",,215.0,0.79,2.73,5.87,,,424.0
"Gravy, chicken, dry",,381.0,11.3,9.73,62.1,,,4150.0
"KFC, Popcorn Chicken",,351.0,17.7,21.7,21.2,1.0,,1140.0
Lasagna with chicken or turkey,,205.0,13.74,10.37,14.01,1.0,,387.0
"Lo mein, with chicken",,130.0,9.15,3.15,16.15,1.0,,413.0
"McDONALD'S, Chicken McNUGGETS",,302.0,15.8,19.8,15.1,,,566.0
Mock chicken legs,,242.0,21.54,13.59,8.04,0.3,,313.0
"Nachos, chicken, with beans",,203.0,9.62,10.48,18.26,2.0,,425.0
Pad Thai with chicken,,154.0,8.13,7.5,14.36,1.2,,384.0
"Pot pie, chicken",,255.0,9.24,13.54,23.95,2.0,,375.0
"Quesadilla, chicken, with vegetables",,270.0,11.29,12.14,28.22,2.1,,592.0
Ramen bowl with chicken,,126.0,7.04,3.86,15.4,1.0,,354.0
"Rice, fried, with chicken",,173.0,7.28,3.66,27.62,0.9,,359.0
"Soup, chicken noodle",,53.0,3.84,1.4,6.21,0.7,,248.0
"Soup, chicken, canned",,33.0,2.02,0.72,4.86,0.9,,266.0
"Soup, cream of chicken",,91.0,4.0,5.42,6.79,0.9,,251.0
"Stew, chicken, with pasta",,108.0,10.24,2.49,10.81,1.1,,301.0
"WENDY'S, Chicken Nuggets",,1360.0,16.5,22.6,14.3,,,708.0
"Pork, Shoulder breast, boneless, separable lean and fat, cooked, broiled",,678.0,28.5,4.49,0.0,0.0,,54.0
"GRILLED FLAMEBROILED CHICKEN BREAST PATTY WITH RIB MEAT ON A SESAME SEED BUN SANDWICHES, GRILLED CHICKEN",AdvancePierre Foods Inc.,259.0,12.5,8.93,30.4,0.9,,429.0
"SUBWAY, turkey breast sub on white bread with lettuce and tomato",,147.0,9.12,2.31,22.4,1.3,,317.0
"Turkey breast, low salt, prepackaged or deli, luncheon meat",,109.0,21.8,0.83,3.51,0.5,,772.0
"Turkey breast, pre-basted, meat and skin, cooked, roasted",,126.0,22.2,3.46,0.0,0.0,,397.0
"Turkey, all classes, breast, meat and skin, cooked, roasted",,189.0,28.7,7.41,0.0,0.0,,63.0
"Turkey, retail parts, breast, meat and skin, cooked, roasted",,687.0,29.0,5.33,0.05,0.0,,114.0
"Turkey, retail parts, breast, meat only, cooked, roasted",,136.0,29.5,1.97,0.0,0.0,,114.0
"Veal, breast, whole, boneless, separable lean and fat, raw",,208.0,17.5,14.8,0.0,,,71.0
"Chicken fillet sandwich, NFS",,281.0,12.17,13.46,27.48,1.7,,571.0
"GRILLED CHICKEN STRIPS, GRILLED",Target Stores,119.0,22.6,2.98,1.19,0.0,,500.0
"GRILLED CHICKEN STRIPS, GRILLED",Wakefern Food Corporation,129.0,20.0,2.35,3.53,0.0,,159.0
"GRILLED CHICKEN STRIPS, GRILLED",,119.0,22.6,2.38,2.38,0.0,,643.0
"Chicken nuggets, from frozen",,298.0,13.36,19.23,17.88,1.8,,600.0
"Chicken tenders or strips, NFS",,271.0,19.22,13.95,17.25,1.2,,769.0
Chicken or turkey with mushroom sauce,,136.0,19.29,5.7,1.84,0.1,,521.0
"GRILLED CHICKEN SPRING WRAP, GRILLED CHICKEN",Lwin Family Co.,134.0,4.18,2.51,23.4,1.7,,197.0
GRILLED CHICKEN,Ruiz Food Products Inc,225.0,10.2,9.51,24.3,1.4,,549.0
GRILLED CHICKEN,Ruiz Food Products Inc,217.0,11.6,8.59,22.7,1.0,,404.0
Chicken or turkey and potatoes with gravy,,122.0,7.47,6.35,9.04,0.9,,428.0
"CHICKEN GRILLING ADJUSTABLE GRINDER, CHICKEN GRILLING","Meijer, Inc.",0.0,0.0,0.0,0.0,,,10000.0
"CHICKEN GRILLING SEASONING GRINDER, CHICKEN GRILLING","Weis Markets, Inc.",0.0,0.0,0.0,0.0,,,10000.0
"CHICKEN GRILLING SEASONING GRINDER, CHICKEN GRILLING","Hy-Vee, Inc.",0.0,0.0,0.0,0.0,,,10000.0
"FETTUCCINE ALFREDO WITH GRILLED CHICKEN, GRILLED CHICKEN","Ukrop's Homestyle Foods, LLC",176.0,10.9,7.27,16.4,0.6,,
"GRILLED CHICKEN CAESAR WRAP, GRILLED CHICKEN","Fresh Grill, LLC",255.0,10.1,15.0,20.2,2.4,,372.0
"GRILLED CHICKEN FAJITA STRIPS, GRILLED CHICKEN",Target Stores,153.0,24.7,3.53,4.71,0.0,,800.0
"GRILLED CHICKEN FAJITA STRIPS, GRILLED CHICKEN",Target Stores,119.0,25.0,1.19,1.19,0.0,,571.0
Sweet and sour chicken or turkey,,250.0,10.1,12.65,23.86,1.0,,246.0
"FIRE GRILLED CHICKEN BREAST BITES, TERIYAKI DIPPING SAUCE, FIRE GRILLED, TERIYAKI",Oberto Sausage Company,160.0,19.2,3.2,11.2,0.0,,464.0
"GRILLED CHICKEN BREAST SKEWERS WITH ROTISSERIE-STYLE SEASONINGS, GRILLED WITH ROTISSERIE-STYLE SEASONINGS",Target Stores,130.0,21.0,3.0,3.0,0.0,,610.0
"GRILLED ITALIAN STYLE CHICKEN BREAST STRIPS WITH RIB MEAT, GRILLED ITALIAN STYLE",PERDUE,119.0,21.4,2.38,1.19,0.0,,512.0
Chicken salad sandwich on wheat,,245.0,13.08,13.83,17.06,2.1,,469.0
Chicken salad sandwich on white,,246.0,12.42,13.7,18.32,1.0,,473.0
Chicken salad sandwich wrap,,269.0,12.89,16.56,16.99,1.3,,603.0
"Chicken wing, baked, coated",,260.0,21.42,16.87,3.98,0.2,,417.0
"Chicken, canned, meat only",,185.0,25.3,8.1,0.9,0.0,,482.0
"Chicken nuggets, from restaurant",,307.0,15.92,20.36,14.93,0.9,,594.0
"Lamb, New Zealand, imported, breast, separable lean only, raw",,624.0,18.3,7.98,1.02,0.0,,107.0
"Egg, whole, boiled or poached",,143.0,12.4,9.96,0.96,0.0,,129.0
"Egg, whole, cooked, hard-boiled",,155.0,12.6,10.6,1.12,0.0,,124.0
"Peanuts, boiled",,318.0,13.5,22.01,21.26,8.8,,751.0
"Chicken, feet, boiled",,215.0,19.4,14.6,0.2,0.0,,67.0
"Clams, steamed or boiled",,109.0,18.57,1.22,4.52,0.0,,71.0
"Plantains, green, boiled",,121.0,1.09,0.08,29.2,2.6,,2.0
"Potato, boiled, NFS",,126.0,1.87,4.25,20.45,1.4,,166.0
"Scallops, steamed or boiled",,87.0,15.24,0.62,4.02,0.0,,301.0
"Shrimp, steamed or boiled",,90.0,17.19,1.28,1.15,0.0,,248.0
"Potato, boiled, ready-to-heat",,126.0,1.87,4.25,20.45,1.4,,166.0
"Asparagus, cooked, boiled, drained",,94.0,2.4,0.22,4.11,2.0,,14.0
"Beets, cooked, boiled, drained",,44.0,1.68,0.18,9.96,2.0,,77.0
"Seeds, breadfruit seeds, boiled",,168.0,5.3,2.3,32.0,4.8,,23.0
"Arrowhead, cooked, boiled, drained, with salt",,78.0,4.49,0.1,16.1,,,254.0
"Asparagus, cooked, boiled, drained, with salt",,22.0,2.4,0.22,4.11,2.0,,240.0
"Beets, cooked, boiled. drained, with salt",,44.0,1.68,0.18,9.96,2.0,,285.0
"Borage, cooked, boiled, drained, with salt",,25.0,2.09,0.81,3.55,,,324.0
"Broccoli, cooked, boiled, drained, with salt",,146.0,2.38,0.41,7.18,3.3,,262.0
"Butterbur, cooked, boiled, drained, with salt",,8.0,0.23,0.02,2.16,,,240.0
"Cardoon, cooked, boiled, drained, with salt",,82.0,0.76,0.11,4.74,1.7,,412.0
"Carrots, cooked, boiled, drained, with salt",,147.0,0.76,0.18,8.22,3.0,,302.0
"Cauliflower, cooked, boiled, drained, with salt",,96.0,1.84,0.45,4.11,2.3,,242.0
"Celeriac, cooked, boiled, drained, with salt",,27.0,0.96,0.19,5.9,,,297.0
"Celery, cooked, boiled, drained, with salt",,74.0,0.83,0.16,4.0,1.6,,327.0
"Collards, cooked, boiled, drained, with salt",,33.0,2.71,0.72,5.65,4.0,,252.0
"Dock, cooked, boiled, drained, with salt",,20.0,1.83,0.64,2.93,,,239.0
"Eggplant, cooked, boiled, drained, with salt",,138.0,0.83,0.23,8.14,2.5,,239.0
"Frankfurter, meat and poultry, cooked, boiled",,1240.0,10.3,26.3,4.96,0.0,,914.0
"Kale, cooked, boiled, drained, with salt",,44.0,2.94,1.21,5.3,2.3,,252.0
"Kohlrabi, cooked, boiled, drained, with salt",,29.0,1.8,0.11,6.69,1.1,,257.0
"Lambsquarters, cooked, boiled, drained, with salt",,134.0,3.2,0.7,5.0,2.1,,265.0
"Nuts, chestnuts, chinese, boiled and steamed",,153.0,2.88,0.76,33.6,,,2.0
"Nuts, chestnuts, european, boiled and steamed",,131.0,2.0,1.38,27.8,,,27.0
"Nuts, chestnuts, japanese, boiled and steamed",,56.0,0.82,0.19,12.6,,,5.0
"Okra, cooked, boiled, drained, with salt",,22.0,1.87,0.21,4.51,2.5,,241.0
"Onions, cooked, boiled, drained, with salt",,176.0,1.36,0.19,9.56,1.4,,239.0
"Parsnips, cooked, boiled, drained, with salt",,71.0,1.32,0.3,17.0,4.0,,246.0
"Pumpkin, cooked, boiled, drained, with salt",,18.0,0.72,0.07,4.31,1.1,,237.0
"Purslane, cooked, boiled, drained, with salt",,18.0,1.49,0.19,3.55,,,280.0
"Rutabagas, cooked, boiled, drained, with salt",,30.0,0.93,0.18,6.84,1.8,,254.0
"Salsify, cooked, boiled, drained, with salt",,68.0,2.73,0.17,15.4,3.1,,252.0
"Spinach, cooked, boiled, drained, with salt",,23.0,2.97,0.26,3.75,2.4,,306.0
"Squash, Indian, cooked, boiled (Navajo)",,65.0,0.31,0.15,3.22,1.5,,
"Sweet potato, boiled, fat added",,115.0,1.58,4.53,17.14,3.0,,161.0
"Sweet potato, boiled, no added fat",,82.0,1.64,0.39,17.98,3.1,,154.0
"Sweet potato, boiled, NS as to fat",,115.0,1.58,4.53,17.14,3.0,,161.0
"Turnips, cooked, boiled, drained, with salt",,92.0,0.71,0.08,5.06,2.0,,286.0
"Eggs, Grade A, Large, egg white",,55.0,10.7,0.0,2.36,,,
"Eggs, Grade A, Large, egg whole",,617.0,12.4,9.96,0.96,0.0,,129.0
"Eggs, Grade A, Large, egg yolk",,1400.0,16.2,28.8,1.02,,,
"Amaranth leaves, cooked, boiled, drained, with salt",,21.0,2.11,0.18,4.11,,,257.0
"Apples, raw, without skin, cooked, boiled",,222.0,0.26,0.36,13.6,2.4,,1.0
"Arrowhead, cooked, boiled, drained, without salt",,78.0,4.49,0.1,16.1,,,18.0
"Asparagus, frozen, cooked, boiled, drained, with salt",,74.0,2.95,0.42,1.92,1.6,,240.0
"Bamboo shoots, cooked, boiled, drained, with salt",,46.0,1.53,0.22,1.52,1.0,,240.0
"Beet greens, cooked, boiled, drained, with salt",,113.0,2.57,0.2,5.46,2.9,,477.0
"Borage, cooked, boiled, drained, without salt",,25.0,2.09,0.81,3.55,,,88.0
"Broccoli, cooked, boiled, drained, without salt",,146.0,2.38,0.41,7.18,3.3,,41.0
"Brussels sprouts, cooked, boiled, drained, with salt",,36.0,2.55,0.5,7.1,2.6,,257.0
"Burdock root, cooked, boiled, drained, with salt",,88.0,2.09,0.14,21.2,1.8,,240.0
"Butterbur, cooked, boiled, drained, without salt",,8.0,0.23,0.02,2.16,,,4.0
"Cabbage, common, cooked, boiled, drained, with salt",,23.0,1.27,0.06,5.51,1.9,,255.0
